the_geom*GID*the_geom2*GID2*url*result
MULTIPOINT ((-56.1630827461649 -34.9101902359168))*1477*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1630827461649,-34.9101902359168;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"vkatEvjxuIeFXI[x@cArDg@JQj@Oj@i@f@{AxBI~Hq]h@gAH{AxEgW","legs":[{"steps":[],"distance":1412.5,"duration":156.9,"summary":"","weight":163.6}],"distance":1412.5,"duration":156.9,"weight_name":"routability","weight":163.6}],"waypoints":[{"hint":"wkMAgP___39XAAAA0QAAAAAAAAAHAAAAX8uvQrW-8UIAAAAACQzdQFcAAADRAAAAAAAAAAcAAAArAAAApASn_AxQ6_31BKf8ElDr_QAALxZldOdz","distance":7.431124,"name":"Bulevar General Artigas","location":[-56.163164,-34.910196]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1633120693373 -34.9084150721418))*1478*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1633120693373,-34.9084150721418;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"r`atE~kxuIqCN@h@nP}@lAW`@]vK_f@h@gAH{AxEgW","legs":[{"steps":[],"distance":1552.2,"duration":178.3,"summary":"","weight":178.3}],"distance":1552.2,"duration":178.3,"weight_name":"routability","weight":178.3}],"waypoints":[{"hint":"vQ4CgP___380AAAAhgAAAAAAAAAAAAAA5YFQQpKGo0IAAAAAAAAAADQAAACGAAAAAAAAAAAAAAArAAAA3wOn_P1W6_0QBKf8AVfr_QAALxZldOdz","distance":4.499237,"name":"Bulevar General Artigas","location":[-56.163361,-34.908419]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1633861673065 -34.907575230732)) *1479*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1633861673065,-34.907575230732;-56.1521578242584,-34.9145193786522                                                     *{"code":"Ok","routes":[{"geometry":"j{`tEplxuImDRYoKd@uBf_@sBhFeUh@gAH{AxEgW","legs":[{"steps":[],"distance":1720.8,"duration":190.4,"summary":"","weight":190.4}],"distance":1720.8,"duration":190.4,"weight_name":"routability","weight":190.4}],"waypoints":[{"hint":"Ug8CgP___38LAAAARQAAAAAAAAA7AAAAWjI7QaWXZEIAAAAASCweQgsAAABFAAAAAAAAADsAAAArAAAAggOn_ERa6_3GA6f8SVrr_QAALxZldOdz","distance":6.238107,"name":"Bulevar General Artigas","location":[-56.163454,-34.90758]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1636831946511 -34.9048701418369))*1480*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1636831946511,-34.9048701418369;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"nj`tElnxuIcG\\@f@dj@wCdBg@`Lmf@h@gAH{AxEgW","legs":[{"steps":[],"distance":2073.6,"duration":234.5,"summary":"","weight":234.5}],"distance":2073.6,"duration":234.5,"weight_name":"routability","weight":234.5}],"waypoints":[{"hint":"AAgAgP___39SAAAAcQAAAAAAAAAAAAAAucSlQuGB8UEAAAAAAAAAAFIAAABxAAAAAAAAAAAAAAArAAAAVwKn_NVk6_2dAqf82mTr_QAALxZldOdz","distance":6.420151,"name":"Bulevar General Artigas","location":[-56.163753,-34.904875]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1638834673068 -34.9030827703203))*1481*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1638834673068,-34.9030827703203;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"h_`tEtoxuIoDz@xr@uDdBg@jMuh@bFcZ","legs":[{"steps":[],"distance":2168.2,"duration":246.4,"summary":"","weight":246.4}],"distance":2168.2,"duration":246.4,"weight_name":"routability","weight":246.4}],"waypoints":[{"hint":"mWUCgP___382AAAAWAAAAAAAAAAAAAAAUPRZQsGzBUIAAAAAAAAAADYAAABYAAAAAAAAAAAAAAArAAAAkAGn_NBr6_3VAaf81Wvr_QAALxZldOdz","distance":6.329124,"name":"Bulevar General Artigas","location":[-56.163952,-34.903088]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.151527869549 -34.9173977131597)) *328*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.151527869549,-34.9173977131597;-56.1521578242584,-34.9145193786522                                                     *{"code":"Ok","routes":[{"geometry":"zxbtEjavuIpGxAq@nEeXkGo@pDPDPgA","legs":[{"steps":[],"distance":850.3,"duration":104.7,"summary":"","weight":105.7}],"distance":850.3,"duration":104.7,"weight_name":"routability","weight":105.7}],"waypoints":[{"hint":"gRMCgP___39NAAAAdgAAAAAAAAAAAAAAJeiZQmWFI0IAAAAAAAAAAE0AAAB2AAAAAAAAAAAAAAArAAAAgjKn_NIz6_0YMqf86jPr_QAAPwxldOdz","distance":10.04487,"name":"Roque Graseras","location":[-56.151422,-34.917422]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1509661089385 -34.9162520268838))*329*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1509661089385,-34.9162520268838;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"nqbtE|~uuIdB`@m@nEqKeCo@pDPDPgA","legs":[{"steps":[],"distance":518.9,"duration":71.6,"summary":"","weight":72.6}],"distance":518.9,"duration":71.6,"weight_name":"routability","weight":72.6}],"waypoints":[{"hint":"pBMCgP___386AAAAdgAAAAAAAAAAAAAA1opqQs3fbEIAAAAAAAAAADoAAAB2AAAAAAAAAAAAAAArAAAACzSn_HI46_1KNKf8ZDjr_QAALwxldOdz","distance":5.962364,"name":"Roque Graseras","location":[-56.151029,-34.916238]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1501616739236 -34.9141752551782))*305*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1501616739236,-34.9141752551782;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"ddbtEvyuuIzAbF{@~EPDPgA","legs":[{"steps":[],"distance":266.8,"duration":37.5,"summary":"","weight":38.5}],"distance":266.8,"duration":37.5,"weight_name":"routability","weight":38.5}],"waypoints":[{"hint":"fgkCgP___385AAAASwAAAAAAAAAAAAAA9EhmQrXpj0EAAAAAAAAAADkAAABLAAAAAAAAAAAAAAArAAAARTen_MZA6_1uN6f8gUDr_QAAPw9ldOdz","distance":8.522189,"name":"Lázaro Gadea","location":[-56.150203,-34.914106]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1504704866248 -34.912618905675)) *122*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1504704866248,-34.912618905675;-56.1521578242584,-34.9145193786522                                                     *{"code":"Ok","routes":[{"geometry":"`{atEv{uuIgBtAeCiEzDmD`EbEdBqAhCrI{@~EPDPgA","legs":[{"steps":[],"distance":852.7,"duration":106.5,"summary":"","weight":107.5}],"distance":852.7,"duration":106.5,"weight_name":"routability","weight":107.5}],"waypoints":[{"hint":"KgoCgP___38hAAAAZwAAAAAAAAAAAAAAccoHQk4pikIAAAAAAAAAACEAAABnAAAAAAAAAAAAAAArAAAABDan_HdG6_06Nqf8lUbr_QAAXxRldOdz","distance":5.951653,"name":"Avenida Brasil","location":[-56.150524,-34.912649]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1500188945499 -34.9131468172838))*127*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1500188945499,-34.9131468172838;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"j~atE~xuuIw@n@HNxDwChCrI{@~EPDPgA","legs":[{"steps":[],"distance":495.7,"duration":73.9,"summary":"","weight":74.9}],"distance":495.7,"duration":73.9,"weight_name":"routability","weight":74.9}],"waypoints":[{"hint":"vgkCgP___38PAAAANQAAAAAAAAAAAAAAf9hwQc7KFkIAAAAAAAAAAA8AAAA1AAAAAAAAAAAAAAArAAAAvTen_GFE6_39N6f8hUTr_QAAXxRldOdz","distance":7.0815,"name":"Avenida Brasil","location":[-56.150083,-34.913183]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1487743037514 -34.9095634050494))*76*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1487743037514,-34.9095634050494;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"lgatEdquuIZh@bH{GlB|C`@LrHxHdBqAhCrI{@~EPDPgA","legs":[{"steps":[],"distance":963.3,"duration":119.9,"summary":"","weight":120.9}],"distance":963.3,"duration":119.9,"weight_name":"routability","weight":120.9}],"waypoints":[{"hint":"sgkCgP___39NAAAAZgAAAAAAAAAAAAAAxkCaQi6VxUEAAAAAAAAAAE0AAABmAAAAAAAAAAAAAAArAAAApzyn_LtS6_3aPKf8hVLr_QAAjw5ldOdz","distance":7.58965,"name":"26 de Marzo","location":[-56.148825,-34.909509]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1472824356098 -34.9107798987253))*116*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1472824356098,-34.9107798987253;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"voatEbguuIbDlF`@LrHxHdBqAhCrI{@~EPDPgA","legs":[{"steps":[],"distance":777.4,"duration":94,"summary":"","weight":95}],"distance":777.4,"duration":94,"weight_name":"routability","weight":95}],"waypoints":[{"hint":"xwkCgP___385AAAAaQAAAAAAAAAAAAAAVsxkQnBNPUIAAAAAAAAAADkAAABpAAAAAAAAAAAAAAArAAAA7kKn_IRN6_2uQqf8xE3r_QAAbw5ldOdz","distance":9.198195,"name":"Alejandro Chucarro","location":[-56.147218,-34.910844]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1472856026516 -34.9113449139165))*298*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1472856026516,-34.9113449139165;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"dsatE|guuIvDaEfLhL`@T|Bh@_EtUPDPgA","legs":[{"steps":[],"distance":926.3,"duration":112.9,"summary":"","weight":113.9}],"distance":926.3,"duration":112.9,"weight_name":"routability","weight":113.9}],"waypoints":[{"hint":"0AkCgP___38nAAAAWwAAAAAAAAAKAAAAm0IcQsVsT0IAAAAA2wAbQScAAABbAAAAAAAAAAoAAAArAAAAbkKn_GdL6_2qQqf8j0vr_QAAzwhldOdz","distance":7.053209,"name":"Guayaqui","location":[-56.147346,-34.911385]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1528447797224 -34.9082248920765))*310*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1528447797224,-34.9082248920765;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"t_atEvjvuIxXaW`EbEdBqAhCrI{@~EPDPgA","legs":[{"steps":[],"distance":1110.8,"duration":128.4,"summary":"","weight":129.4}],"distance":1110.8,"duration":128.4,"weight_name":"routability","weight":129.4}],"waypoints":[{"hint":"AQoCgP___38aAAAAXwAAAAAAAAAAAAAAJwnUQVVgiEIAAAAAAAAAABoAAABfAAAAAAAAAAAAAAArAAAApiyn_I5X6_3zLKf8v1fr_QAA7whldOdz","distance":8.891042,"name":"José Martí","location":[-56.152922,-34.908274]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
MULTIPOINT ((-56.1514093330861 -34.9071227647349))*297*MULTIPOINT ((-56.1521578242584 -34.9145193786522))* 182*http://localhost:5000/route/v1/driving/-56.1514093330861,-34.9071227647349;-56.1521578242584,-34.9145193786522                                                    *{"code":"Ok","routes":[{"geometry":"vx`tEtavuItWaWlB|C`@LrHxHdBqAhCrI{@~EPDPgA","legs":[{"steps":[],"distance":1292.8,"duration":147.5,"summary":"","weight":148.5}],"distance":1292.8,"duration":147.5,"weight_name":"routability","weight":148.5}],"waypoints":[{"hint":"XUMAgP___38wAAAAQAAAAAAAAAAAAAAAradCQvhFeUEAAAAAAAAAADAAAABAAAAAAAAAAAAAAAArAAAAUzKn_OZb6_2PMqf8DVzr_QAA3whldOdz","distance":6.983947,"name":"Guayaqui","location":[-56.151469,-34.907162]},{"hint":"JBMCgP___38iAAAAVgAAAAAAAAAAAAAA5oAIQjBlT0IAAAAAAAAAACIAAABWAAAAAAAAAAAAAAArAAAAvC-n_G0_6_2iL6f8KT_r_QAAvwZldOdz","distance":7.908907,"name":"Bulevar España","location":[-56.152132,-34.914451]}]}
